Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Piniava,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-15,09:00:00,positive,66,67.14,normal,negative,55,63.36,normal
Aleksandrija,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:40,positive,76,50.39,heavy,negative,29,50.06,heavy
Bulinskiai,A14,Vilnius–Utena,15,2023-11-15,09:00:43,negative,0,,normal,positive,24,81.56,normal
Ginkūnai,213,Aleksandrija–Ginkūnai,15,2023-11-15,09:01:38,positive,51,47.54,slow,negative,52,49.07,slow
Baukštininkai,217,Klaipėda–Jokūbavas,15,2023-11-15,09:01:42,positive,41,73.41,heavy,negative,29,73.13,heavy
Budrikai,227,Jakai–Dovilai–Laugaliai,15,2023-11-15,09:01:44,positive,52,61.87,slow,negative,69,64.43,normal
Antkoptis,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,96,107.99,heavy,positive,67,109.4,heavy
Truskava,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-15,09:00:02,negative,43,77.43,heavy,positive,62,78.42,heavy
Gustonys,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Neveronys,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Pakalniškiai,3403,Šilėnai–Sidariai–Šiaulėnai,15,2023-11-15,09:00:36,positive,0,,normal,negative,0,,normal
Kybartai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:00,positive,24,52.75,heavy,negative,33,53.01,heavy
Medininkai,A3,Vilnius–Minskas,15,2023-11-15,09:00:40,negative,6,66.32,slow,positive,19,56.85,slow
Kuršeliai,2219,Kretingalė–Plikiai–Smilgynai,15,2023-11-15,09:01:16,,0,0.0,0,,0,0.0,0
Daunoriškė,1607,Joniškis–Vaineikiai–Šarkiai,15,2023-11-15,09:00:37,negative,3,22.2,slow,positive,3,36.7,slow
Maliancai,4715,Drabužninkai II–Bijūnai I,15,2023-11-15,09:00:00,positive,1,67.0,normal,negative,0,,normal
Vainatrakis,1941,Vainatrakis–Margininkai,15,2023-11-15,09:00:00,positive,0,,normal,negative,11,76.26,normal
Trakėnai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,positive,69,65.85,slow,negative,87,80.01,heavy
